pointID,CEI
11801,0.26880507931724273
11802,0.2704482495033348
11803,0.2953275482457865
11804,0.3167788976241007
11805,0.28429394294110794
11806,0.2699830730599305
11807,0.2428221124005998
11808,0.23282724516236533
11809,0.24529309877114075
11810,0.2417558510045951
11811,0.24162649889944224
11812,0.21385924127208747
11813,0.1983782249086807
11814,0.2027141293854088
11815,0.18762807792918254
11816,0.21605370008691158
11817,0.2444434300839538
11818,0.24583571480735034
11819,0.24260132203852625
11820,0.20731449199015659
11821,0.20946537441639862
11822,0.19758857471913982
11823,0.20785529398573951
11824,0.19713187630622508
11825,0.24023926020034836
11826,0.26011909439591435
11827,0.2704006955291913
11828,0.29536387222466903
11829,0.28994460486305584
11830,0.2579974127231937
11831,0.2585643850666544
11832,0.24419699813988333
11833,0.26794041415137376
11834,0.2870130012557467
11835,0.2893294123385281
11836,0.31699970334570343
11837,0.35861210535652055
11838,0.37719352074475676
11839,0.3643166573540878
11840,0.34440312073375345
11841,0.34430891572452904
11842,0.32725377398613154
11843,0.31425855666099667
11844,0.28921754186300713
11845,0.2648409396842487
11846,0.2633573319852743
11847,0.2632405723286655
11848,0.2622753698837782
11849,0.2607686509775057
11850,0.2687026329361899
11851,0.2574541776338264
11852,0.25499508385143693
11853,0.2966643386197382
11854,0.2869027327968437
11855,0.25912881469741617
11856,0.24389313348382358
11857,0.23967455691272063
11858,0.23741493117238757
11859,0.2511774256526153
11860,0.24859532088431882
11861,0.27136944179737504
11862,0.2486491816772984
11863,0.23937193657740308
11864,0.22741606527385116
11865,0.21871669307315014
11866,0.2079575067394573
11867,0.22206175942550346
11868,0.22693414682780272
11869,0.20392979898204483
11870,0.20287831259839514
11871,0.18412871592804225
11872,0.17921257572710728
11873,0.16770132348138184
11874,0.15854790920458836
11875,0.15960658388055288
11876,0.16196504295206102
11877,0.1621746016313778
11878,0.14321197843384537
11879,0.1819245106446962
11880,0.17955912202720298
11881,0.2685686304251434
11882,0.21130145779402557
11883,0.17301354359877683
11884,0.16429321035826072
11885,0.14479677417534756
11886,0.1683485217858096
11887,0.17605521634430701
11888,0.17408424862389066
11889,0.17557513018222218
11890,0.18575558402398212
11891,0.15578189216917349
11892,0.1350649550369671
11893,0.14064134081894294
11894,0.1340755891561792
11895,0.14018945450402218
11896,0.165870914419211
11897,0.1689684969278745
11898,0.1635718324512896
11899,0.16157956506988985
11900,0.15903214919567613
11901,0.17243901769947956
11902,0.18784160508140604
11903,0.1866086354204168
11904,0.1914961205439243
11905,0.1843386651880641
11906,0.19663615670933138
11907,0.19282323499157436
11908,0.1890582811352093
11909,0.2083371054800245
11910,0.2137110890430264
11911,0.21042479841103162
11912,0.2072281836571789
11913,0.19420903964517797
11914,0.2464912589105381
11915,0.3140833955374993
11916,0.24864304308627258
11917,0.2082877342744466
11918,0.15957533571236404
11919,0.15066397718961302
11920,0.15212218633823835
11921,0.17474031977166765
11922,0.147303913405325
11923,0.153272063140937
11924,0.15348314332841909
11925,0.14187741796201087
11926,0.15803294397769949
11927,0.14283496939345178
11928,0.13317027802724463
11929,0.12855670096069013
11930,0.16774017080756554
11931,0.1893859458567836
11932,0.18140271574277492
11933,0.17450064311909425
11934,0.2132223418312733
11935,0.2111386914024341
11936,0.2042424203746395
11937,0.20388154395080405
11938,0.21679781352280728
11939,0.25960245021995293
11940,0.22813742291915964
11941,0.2145561135688428
12001,0.26329389583031015
12002,0.2976243125548525
12003,0.28381937327936535
12004,0.2869925990097726
12005,0.315810901563069
12006,0.3252218987140742
12007,0.31757407016973954
12008,0.25177910514224766
12009,0.25492377228767965
12010,0.2556747369509782
12011,0.2231759334186273
12012,0.22124257813247075
12013,0.21811374631013156
12014,0.19971084320491678
12015,0.19413536189120195
