pointID,X,Y,Buffer_type,Area2000_road,Area2000_ref,Area2000_AC,Area2000_RC,Area2020_road,Area2020_ref,Area2020_AC,Area2020_RC,H2000_road,H2000_ref,H2000_AC,H2000_RC,H2020_road,H2020_ref,H2020_AC,H2020_RC,PD2000_road,PD2000_ref,PD2000_AC,PD2000_RC,PD2020_road,PD2020_ref,PD2020_AC,PD2020_RC,NPP2000_road,NPP2000_ref,NPP2000_AC,NPP2000_RC,NPP2020_road,NPP2020_ref,NPP2020_AC,NPP2020_RC,Area_AC_trend,Area_RC_trend,H_AC_trend,H_RC_trend,PD_AC_trend,PD_RC_trend,NPP_AC_trend,NPP_RC_trend,CEI_Diff,Nearest_Ref_Distance,Ref_Points_Used
10319.0000,-5693444.2710,-503465.7293,4.0000,100.0000,99.8994,0.1006,0.0503,100.0000,99.8629,0.1371,0.0686,28.8500,27.4999,1.3501,2.3959,28.3500,26.8384,1.5116,2.7389,1.0000,1.0136,-0.0136,-0.6759,1.0000,1.0337,-0.0337,-1.6556,1276.1000,1272.9779,3.1221,0.1225,1337.1000,1332.1289,4.9711,0.1862,0.0365,15.3729,0.1615,5.6435,-0.0201,-42.4242,1.8489,22.8455,-0.0006,4242.6407,995
10320.0000,-5692444.2710,-503465.7293,4.0000,100.0000,99.9322,0.0678,0.0339,100.0000,99.8783,0.1217,0.0609,27.8900,27.4756,0.4144,0.7484,27.1800,26.8023,0.3777,0.6996,1.0000,1.0012,-0.0012,-0.0599,1.0000,1.0125,-0.0125,-0.6222,1235.5000,1271.3831,-35.8831,-1.4314,1344.9000,1331.9684,12.9316,0.4831,0.0539,28.4533,-0.0367,-4.6314,-0.0113,-82.5209,48.8147,100.0000,-0.0010,3605.5513,981
10321.0000,-5691444.2710,-503465.7293,3.0000,100.0000,99.9223,0.0777,0.0389,100.0000,99.8925,0.1075,0.0538,28.2900,27.4016,0.8884,1.5952,28.1500,26.7470,1.4030,2.5556,1.0000,1.0125,-0.0125,-0.6224,1.0000,1.0297,-0.0297,-1.4634,1278.6000,1271.4609,7.1391,0.2800,1257.9000,1329.5546,-71.6546,-2.7693,0.0298,16.0905,0.5146,22.4568,-0.0172,-40.6779,-78.7937,-100.0000,0.0000,2828.4271,967
10322.0000,-5690444.2710,-503465.7293,3.0000,100.0000,99.9823,0.0177,0.0088,100.0000,99.9686,0.0314,0.0157,27.8800,27.5316,0.3484,0.6288,26.9100,27.0826,-0.1726,-0.3196,1.0000,1.0000,0.0000,0.0000,1.0000,1.0239,-0.0239,-1.1821,1277.9000,1265.8931,12.0069,0.4720,1364.5000,1336.6377,27.8623,1.0315,0.0138,28.0344,-0.5210,-100.0000,-0.0239,-100.0000,15.8554,39.7685,0.0003,2000.0000,952
10323.0000,-5689444.2710,-503465.7293,2.0000,100.0000,99.9770,0.0230,0.0115,100.0000,99.9731,0.0269,0.0134,29.2200,27.5936,1.6264,2.8628,28.1500,27.1635,0.9865,1.7835,1.0000,1.0000,0.0000,0.0000,1.0000,1.0449,-0.0449,-2.1942,1242.9000,1260.8992,-17.9992,-0.7189,1370.9000,1339.2870,31.6130,1.1665,0.0039,7.8288,-0.6399,-24.4898,-0.0449,-100.0000,49.6122,100.0000,-0.0014,1000.0000,938
10506.0000,-5706444.2710,-504465.7293,2.0000,100.0000,99.8879,0.1121,0.0561,100.0000,99.8180,0.1820,0.0911,21.2600,24.7923,-3.5323,-7.6701,21.2300,24.5702,-3.3402,-7.2931,1.0000,1.0009,-0.0009,-0.0458,1.0000,1.0008,-0.0008,-0.0383,1284.7000,1277.7073,6.9927,0.2729,1264.2000,1346.4246,-82.2246,-3.1496,0.0699,23.7587,0.1920,2.7938,0.0001,8.8338,-89.2173,-100.0000,-0.0025,1000.0000,1152
10507.0000,-5705444.2710,-504465.7293,2.0000,100.0000,99.8859,0.1141,0.0571,100.0000,99.7716,0.2284,0.1143,22.9600,25.6421,-2.6821,-5.5185,22.8400,25.2884,-2.4484,-5.0871,1.0000,1.0008,-0.0008,-0.0390,1.0000,1.0013,-0.0013,-0.0648,1245.7000,1271.3966,-25.6966,-1.0209,1321.7000,1337.0327,-15.3327,-0.5767,0.1143,33.3827,0.2338,4.5562,-0.0005,-24.8837,10.3639,25.2599,-0.0006,1414.2136,1143
10508.0000,-5704444.2710,-504465.7293,3.0000,100.0000,99.8415,0.1585,0.0793,100.0000,99.8360,0.1640,0.0820,29.5200,27.7771,1.7429,3.0418,28.0500,27.0478,1.0022,1.8189,1.0000,1.0000,0.0000,0.0000,1.0000,1.0036,-0.0036,-0.1788,1272.9000,1271.5765,1.3235,0.0520,1327.7000,1342.3414,-14.6414,-0.5484,0.0054,1.6829,-0.7407,-26.9824,-0.0036,-100.0000,-15.9649,-100.0000,0.0004,2236.0680,1133
10509.0000,-5703444.2710,-504465.7293,3.0000,100.0000,99.9044,0.0956,0.0478,100.0000,99.9370,0.0630,0.0315,29.4900,27.8104,1.6796,2.9312,28.0600,27.1115,0.9485,1.7191,1.0000,1.0000,0.0000,0.0000,1.0000,1.0117,-0.0117,-0.5839,1308.1000,1269.9693,38.1307,1.4790,1358.8000,1341.7727,17.0273,0.6305,-0.0326,-20.5626,-0.7311,-27.8203,-0.0117,-100.0000,-21.1035,-38.2600,0.0002,2828.4271,1123
10510.0000,-5702444.2710,-504465.7293,4.0000,89.0000,99.8499,-10.8499,-5.7453,100.0000,99.6896,0.3104,0.1554,29.7800,27.6436,2.1364,3.7204,28.7900,26.9254,1.8646,3.3466,1.0000,1.0011,-0.0011,-0.0544,1.0000,1.0089,-0.0089,-0.4416,1259.6000,1274.0893,-14.4893,-0.5719,1325.6000,1336.3872,-10.7872,-0.4052,11.1603,100.0000,-0.2718,-6.7932,-0.0078,-78.1325,3.7022,14.6467,-0.0007,3605.5513,1112
