pointID,X,Y,Buffer_type,Area2000,Area2020,H2000,H2020,PD2000,PD2020,NPP2000,NPP2020,NTL2000,NTL2020,Windowflag,ForestChange,Plantations
14250,-5762444.271,-523465.7293,1,100,100,29.27,29.34,1,1,1245.2,1399,0,0,0,0,0
14251,-5761444.271,-523465.7293,1,100,100,27.59,27.05,1,1,1160.6,1387.1,0,0,1,0,0
14252,-5760444.271,-523465.7293,1,100,100,26.88,26.77,1,1,1315,1423.3,0,0,1,0,0
14253,-5759444.271,-523465.7293,1,100,100,26.94,26.47,1,1,1229.1,1269.7,0,0,1,0,0
14254,-5758444.271,-523465.7293,1,100,100,27.38,26.68,1,1,1281,1370.9,0,0,1,0,0
14255,-5757444.271,-523465.7293,1,100,100,26.99,26.7,1,1,1334.8,1299.6,0,0,1,0,0
14256,-5756444.271,-523465.7293,1,100,100,27.94,27.45,1,1,1306.1,1344.7,0,0,1,0,0
14257,-5755444.271,-523465.7293,1,100,100,27.77,27.6,1,1,1222.7,1277.3,0,0,1,0,0
14258,-5754444.271,-523465.7293,1,100,100,27.95,27.19,1,1,1223.3,1306,0,0,1,0,0
14259,-5753444.271,-523465.7293,1,100,100,28.16,27.48,1,1,1341,1357,0,0,1,0,0
14260,-5752444.271,-523465.7293,1,100,100,29.15,28.02,1,1,1306.2,1257.8,0,0,1,0,0
14261,-5751444.271,-523465.7293,1,100,100,29.58,28.97,1,1,1275.9,1348.8,0,0,1,0,0
14262,-5750444.271,-523465.7293,1,100,100,30.22,29.39,1,1,1328.9,1331.3,0,0,1,0,0
14263,-5749444.271,-523465.7293,1,100,100,30.22,29.58,1,1,1351.1,1407.8,0,0,1,0,0
14264,-5748444.271,-523465.7293,1,100,100,29.74,29.27,1,1,1323.4,1397.5,0,0,1,0,0
14265,-5747444.271,-523465.7293,1,100,100,29.96,29.93,1,1,1324.6,1386.6,0,0,1,0,0
14266,-5746444.271,-523465.7293,1,100,100,27.15,27.06,1,1,1357.5,1363.4,0,0,1,0,0
14267,-5745444.271,-523465.7293,1,100,100,28.79,27.87,1,1,1363.2,1348.4,0,0,1,0,0
14268,-5744444.271,-523465.7293,1,100,100,29.48,27.9,1,1,1302.8,1421.3,0,0,1,0,0
14269,-5743444.271,-523465.7293,1,100,100,28.4,27.64,1,1,1346.7,1420.3,0,0,1,0,0
14270,-5742444.271,-523465.7293,1,100,100,29.29,28.73,1,1,1364.2,1382.1,0,0,1,0,0
14271,-5741444.271,-523465.7293,1,100,100,28.52,28.33,1,1,1253.2,1347.6,0,0,1,0,0
14272,-5740444.271,-523465.7293,1,100,100,28.74,27.72,1,1,1377.1,1353.1,0,0,1,0,0
